Logical address: 16916 ; Physical address: 65556 ; Signed Byte Value: 0
Logical address: 36529 ; Physical address: 51377 ; Signed Byte Value: 0
Logical address: 10392 ; Physical address: 51096 ; Signed Byte Value: 0
Logical address: 58882 ; Physical address: 50690 ; Signed Byte Value: 57
Logical address: 5129 ; Physical address: 50441 ; Signed Byte Value: 0
Logical address: 58554 ; Physical address: 50362 ; Signed Byte Value: 57
Logical address: 58584 ; Physical address: 50392 ; Signed Byte Value: 0
Logical address: 27444 ; Physical address: 49972 ; Signed Byte Value: 0
Logical address: 58982 ; Physical address: 50790 ; Signed Byte Value: 57
Logical address: 51476 ; Physical address: 49684 ; Signed Byte Value: 0
Logical address: 6796 ; Physical address: 59020 ; Signed Byte Value: 0
Logical address: 21311 ; Physical address: 56639 ; Signed Byte Value: -49
Logical address: 30705 ; Physical address: 49649 ; Signed Byte Value: 0
Logical address: 28964 ; Physical address: 49188 ; Signed Byte Value: 0
Logical address: 41003 ; Physical address: 56875 ; Signed Byte Value: 10
Logical address: 20259 ; Physical address: 48931 ; Signed Byte Value: -56
Logical address: 57857 ; Physical address: 62465 ; Signed Byte Value: 0
Logical address: 63258 ; Physical address: 48666 ; Signed Byte Value: 61
Logical address: 36374 ; Physical address: 51222 ; Signed Byte Value: 35
Logical address: 692 ; Physical address: 48564 ; Signed Byte Value: 0
Logical address: 43121 ; Physical address: 48241 ; Signed Byte Value: 0
Logical address: 48128 ; Physical address: 47872 ; Signed Byte Value: 0
Logical address: 34561 ; Physical address: 47617 ; Signed Byte Value: 0
Logical address: 49213 ; Physical address: 57149 ; Signed Byte Value: 0
Logical address: 36922 ; Physical address: 47418 ; Signed Byte Value: 36
Logical address: 59162 ; Physical address: 55322 ; Signed Byte Value: 57
Logical address: 50552 ; Physical address: 47224 ; Signed Byte Value: 0
Logical address: 17866 ; Physical address: 56010 ; Signed Byte Value: 17
Logical address: 18145 ; Physical address: 47073 ; Signed Byte Value: 0
Logical address: 3884 ; Physical address: 46636 ; Signed Byte Value: 0
Logical address: 54388 ; Physical address: 46452 ; Signed Byte Value: 0
Logical address: 42932 ; Physical address: 46260 ; Signed Byte Value: 0
Logical address: 46919 ; Physical address: 45895 ; Signed Byte Value: -47
Logical address: 58892 ; Physical address: 50700 ; Signed Byte Value: 0
Logical address: 8620 ; Physical address: 45740 ; Signed Byte Value: 0
Logical address: 38336 ; Physical address: 45504 ; Signed Byte Value: 0
Logical address: 64357 ; Physical address: 60773 ; Signed Byte Value: 0
Logical address: 23387 ; Physical address: 45147 ; Signed Byte Value: -42
Logical address: 42632 ; Physical address: 44936 ; Signed Byte Value: 0
Logical address: 15913 ; Physical address: 44585 ; Signed Byte Value: 0
Logical address: 15679 ; Physical address: 53823 ; Signed Byte Value: 79
Logical address: 22501 ; Physical address: 54501 ; Signed Byte Value: 0
Logical address: 37540 ; Physical address: 44452 ; Signed Byte Value: 0
Logical address: 5527 ; Physical address: 44183 ; Signed Byte Value: 101
Logical address: 63921 ; Physical address: 43953 ; Signed Byte Value: 0
Logical address: 62716 ; Physical address: 65532 ; Signed Byte Value: 0
Logical address: 32874 ; Physical address: 61546 ; Signed Byte Value: 32
Logical address: 64390 ; Physical address: 60806 ; Signed Byte Value: 62
Logical address: 63101 ; Physical address: 43645 ; Signed Byte Value: 0
Logical address: 61802 ; Physical address: 43370 ; Signed Byte Value: 60
Logical address: 19648 ; Physical address: 43200 ; Signed Byte Value: 0
Logical address: 29031 ; Physical address: 49255 ; Signed Byte Value: 89
Logical address: 44981 ; Physical address: 52661 ; Signed Byte Value: 0
Logical address: 28092 ; Physical address: 62396 ; Signed Byte Value: 0
Logical address: 9448 ; Physical address: 42984 ; Signed Byte Value: 0
Logical address: 44744 ; Physical address: 54728 ; Signed Byte Value: 0
Logical address: 61496 ; Physical address: 42552 ; Signed Byte Value: 0
Logical address: 31453 ; Physical address: 42461 ; Signed Byte Value: 0
Logical address: 60746 ; Physical address: 42058 ; Signed Byte Value: 59
Logical address: 12199 ; Physical address: 63143 ; Signed Byte Value: -23
Logical address: 62255 ; Physical address: 41775 ; Signed Byte Value: -53
Logical address: 21793 ; Physical address: 41505 ; Signed Byte Value: 0
Logical address: 26544 ; Physical address: 41392 ; Signed Byte Value: 0
Logical address: 14964 ; Physical address: 41076 ; Signed Byte Value: 0
Logical address: 41462 ; Physical address: 40950 ; Signed Byte Value: 40
Logical address: 56089 ; Physical address: 40473 ; Signed Byte Value: 0
Logical address: 52038 ; Physical address: 40262 ; Signed Byte Value: 50
Logical address: 47982 ; Physical address: 40046 ; Signed Byte Value: 46
Logical address: 59484 ; Physical address: 39772 ; Signed Byte Value: 0
Logical address: 50924 ; Physical address: 39660 ; Signed Byte Value: 0
Logical address: 6942 ; Physical address: 39198 ; Signed Byte Value: 6
Logical address: 34998 ; Physical address: 39094 ; Signed Byte Value: 34
Logical address: 27069 ; Physical address: 38845 ; Signed Byte Value: 0
Logical address: 51926 ; Physical address: 38614 ; Signed Byte Value: 50
Logical address: 60645 ; Physical address: 58597 ; Signed Byte Value: 0
Logical address: 43181 ; Physical address: 48301 ; Signed Byte Value: 0
Logical address: 10559 ; Physical address: 38207 ; Signed Byte Value: 79
Logical address: 4664 ; Physical address: 37944 ; Signed Byte Value: 0
Logical address: 28578 ; Physical address: 37794 ; Signed Byte Value: 27
Logical address: 59516 ; Physical address: 39804 ; Signed Byte Value: 0
Logical address: 38912 ; Physical address: 61696 ; Signed Byte Value: 0
Logical address: 63562 ; Physical address: 37450 ; Signed Byte Value: 62
Logical address: 64846 ; Physical address: 63566 ; Signed Byte Value: 63
Logical address: 62938 ; Physical address: 37338 ; Signed Byte Value: 61
Logical address: 27194 ; Physical address: 36922 ; Signed Byte Value: 26
Logical address: 28804 ; Physical address: 64388 ; Signed Byte Value: 0
Logical address: 61703 ; Physical address: 43271 ; Signed Byte Value: 65
Logical address: 10998 ; Physical address: 53494 ; Signed Byte Value: 10
Logical address: 6596 ; Physical address: 36804 ; Signed Byte Value: 0
Logical address: 37721 ; Physical address: 36441 ; Signed Byte Value: 0
Logical address: 43430 ; Physical address: 36262 ; Signed Byte Value: 42
Logical address: 22692 ; Physical address: 62884 ; Signed Byte Value: 0
Logical address: 62971 ; Physical address: 37371 ; Signed Byte Value: 126
Logical address: 47125 ; Physical address: 35861 ; Signed Byte Value: 0
Logical address: 52521 ; Physical address: 35625 ; Signed Byte Value: 0
Logical address: 34646 ; Physical address: 47702 ; Signed Byte Value: 33
Logical address: 32889 ; Physical address: 61561 ; Signed Byte Value: 0
Logical address: 13055 ; Physical address: 35583 ; Signed Byte Value: -65
Logical address: 65416 ; Physical address: 35208 ; Signed Byte Value: 0
Logical address: 62869 ; Physical address: 37269 ; Signed Byte Value: 0
Logical address: 57314 ; Physical address: 35042 ; Signed Byte Value: 55
Logical address: 12659 ; Physical address: 34675 ; Signed Byte Value: 92
Logical address: 14052 ; Physical address: 34532 ; Signed Byte Value: 0
Logical address: 32956 ; Physical address: 61628 ; Signed Byte Value: 0
Logical address: 49273 ; Physical address: 57209 ; Signed Byte Value: 0
Logical address: 50352 ; Physical address: 51888 ; Signed Byte Value: 0
Logical address: 49737 ; Physical address: 34121 ; Signed Byte Value: 0
Logical address: 15555 ; Physical address: 33987 ; Signed Byte Value: 48
Logical address: 47475 ; Physical address: 33651 ; Signed Byte Value: 92
Logical address: 15328 ; Physical address: 33504 ; Signed Byte Value: 0
Logical address: 34621 ; Physical address: 47677 ; Signed Byte Value: 0
Logical address: 51365 ; Physical address: 33189 ; Signed Byte Value: 0
Logical address: 32820 ; Physical address: 61492 ; Signed Byte Value: 0
Logical address: 48855 ; Physical address: 32983 ; Signed Byte Value: -75
Logical address: 12224 ; Physical address: 63168 ; Signed Byte Value: 0
Logical address: 2035 ; Physical address: 32755 ; Signed Byte Value: -4
Logical address: 60539 ; Physical address: 58491 ; Signed Byte Value: 30
Logical address: 14595 ; Physical address: 32259 ; Signed Byte Value: 64
Logical address: 13853 ; Physical address: 34333 ; Signed Byte Value: 0
Logical address: 24143 ; Physical address: 32079 ; Signed Byte Value: -109
Logical address: 15216 ; Physical address: 33392 ; Signed Byte Value: 0
Logical address: 8113 ; Physical address: 31921 ; Signed Byte Value: 0
Logical address: 22640 ; Physical address: 62832 ; Signed Byte Value: 0
Logical address: 32978 ; Physical address: 61650 ; Signed Byte Value: 32
Logical address: 39151 ; Physical address: 61935 ; Signed Byte Value: 59
Logical address: 19520 ; Physical address: 43072 ; Signed Byte Value: 0
Logical address: 58141 ; Physical address: 31517 ; Signed Byte Value: 0
Logical address: 63959 ; Physical address: 43991 ; Signed Byte Value: 117
Logical address: 53040 ; Physical address: 31280 ; Signed Byte Value: 0
Logical address: 55842 ; Physical address: 31010 ; Signed Byte Value: 54
Logical address: 585 ; Physical address: 48457 ; Signed Byte Value: 0
Logical address: 51229 ; Physical address: 33053 ; Signed Byte Value: 0
Logical address: 64181 ; Physical address: 61365 ; Signed Byte Value: 0
Logical address: 54879 ; Physical address: 62047 ; Signed Byte Value: -105
Logical address: 28210 ; Physical address: 30770 ; Signed Byte Value: 27
Logical address: 10268 ; Physical address: 50972 ; Signed Byte Value: 0
Logical address: 15395 ; Physical address: 33827 ; Signed Byte Value: 8
Logical address: 12884 ; Physical address: 35412 ; Signed Byte Value: 0
Logical address: 2149 ; Physical address: 30565 ; Signed Byte Value: 0
Logical address: 53483 ; Physical address: 30443 ; Signed Byte Value: 58
Logical address: 59606 ; Physical address: 39894 ; Signed Byte Value: 58
Logical address: 14981 ; Physical address: 41093 ; Signed Byte Value: 0
Logical address: 36672 ; Physical address: 30016 ; Signed Byte Value: 0
Logical address: 23197 ; Physical address: 29853 ; Signed Byte Value: 0
Logical address: 36518 ; Physical address: 51366 ; Signed Byte Value: 35
Logical address: 13361 ; Physical address: 29489 ; Signed Byte Value: 0
Logical address: 19810 ; Physical address: 29282 ; Signed Byte Value: 19
Logical address: 25955 ; Physical address: 29027 ; Signed Byte Value: 88
Logical address: 62678 ; Physical address: 65494 ; Signed Byte Value: 61
Logical address: 26021 ; Physical address: 29093 ; Signed Byte Value: 0
Logical address: 29409 ; Physical address: 28897 ; Signed Byte Value: 0
Logical address: 38111 ; Physical address: 28639 ; Signed Byte Value: 55
Logical address: 58573 ; Physical address: 50381 ; Signed Byte Value: 0
Logical address: 56840 ; Physical address: 28168 ; Signed Byte Value: 0
Logical address: 41306 ; Physical address: 40794 ; Signed Byte Value: 40
Logical address: 54426 ; Physical address: 46490 ; Signed Byte Value: 53
Logical address: 3617 ; Physical address: 55585 ; Signed Byte Value: 0
Logical address: 50652 ; Physical address: 47324 ; Signed Byte Value: 0
Logical address: 41452 ; Physical address: 40940 ; Signed Byte Value: 0
Logical address: 20241 ; Physical address: 48913 ; Signed Byte Value: 0
Logical address: 31723 ; Physical address: 53739 ; Signed Byte Value: -6
Logical address: 53747 ; Physical address: 65011 ; Signed Byte Value: 124
Logical address: 28550 ; Physical address: 37766 ; Signed Byte Value: 27
Logical address: 23402 ; Physical address: 45162 ; Signed Byte Value: 22
Logical address: 21205 ; Physical address: 28117 ; Signed Byte Value: 0
Logical address: 56181 ; Physical address: 40565 ; Signed Byte Value: 0
Logical address: 57470 ; Physical address: 27774 ; Signed Byte Value: 56
Logical address: 39933 ; Physical address: 27645 ; Signed Byte Value: 0
Logical address: 34964 ; Physical address: 39060 ; Signed Byte Value: 0
Logical address: 24781 ; Physical address: 27341 ; Signed Byte Value: 0
Logical address: 41747 ; Physical address: 26899 ; Signed Byte Value: -60
Logical address: 62564 ; Physical address: 65380 ; Signed Byte Value: 0
Logical address: 58461 ; Physical address: 50269 ; Signed Byte Value: 0
Logical address: 20858 ; Physical address: 26746 ; Signed Byte Value: 20
Logical address: 49301 ; Physical address: 57237 ; Signed Byte Value: 0
Logical address: 40572 ; Physical address: 26492 ; Signed Byte Value: 0
Logical address: 23840 ; Physical address: 26144 ; Signed Byte Value: 0
Logical address: 35278 ; Physical address: 26062 ; Signed Byte Value: 34
Logical address: 62905 ; Physical address: 37305 ; Signed Byte Value: 0
Logical address: 56650 ; Physical address: 52298 ; Signed Byte Value: 55
Logical address: 11149 ; Physical address: 25741 ; Signed Byte Value: 0
Logical address: 38920 ; Physical address: 61704 ; Signed Byte Value: 0
Logical address: 23430 ; Physical address: 45190 ; Signed Byte Value: 22
Logical address: 57592 ; Physical address: 27896 ; Signed Byte Value: 0
Logical address: 3080 ; Physical address: 25352 ; Signed Byte Value: 0
Logical address: 6677 ; Physical address: 58901 ; Signed Byte Value: 0
Logical address: 50704 ; Physical address: 39440 ; Signed Byte Value: 0
Logical address: 51883 ; Physical address: 38571 ; Signed Byte Value: -86
Logical address: 62799 ; Physical address: 37199 ; Signed Byte Value: 83
Logical address: 20188 ; Physical address: 25308 ; Signed Byte Value: 0
Logical address: 1245 ; Physical address: 25053 ; Signed Byte Value: 0
Logical address: 12220 ; Physical address: 63164 ; Signed Byte Value: 0
Logical address: 17602 ; Physical address: 24770 ; Signed Byte Value: 17
Logical address: 28609 ; Physical address: 37825 ; Signed Byte Value: 0
Logical address: 42694 ; Physical address: 44998 ; Signed Byte Value: 41
Logical address: 29826 ; Physical address: 24450 ; Signed Byte Value: 29
Logical address: 13827 ; Physical address: 34307 ; Signed Byte Value: -128
Logical address: 27336 ; Physical address: 37064 ; Signed Byte Value: 0
Logical address: 53343 ; Physical address: 30303 ; Signed Byte Value: 23
Logical address: 11533 ; Physical address: 24077 ; Signed Byte Value: 0
Logical address: 41713 ; Physical address: 24049 ; Signed Byte Value: 0
Logical address: 33890 ; Physical address: 23650 ; Signed Byte Value: 33
Logical address: 4894 ; Physical address: 51998 ; Signed Byte Value: 4
Logical address: 57599 ; Physical address: 27903 ; Signed Byte Value: 63
Logical address: 3870 ; Physical address: 46622 ; Signed Byte Value: 3
Logical address: 58622 ; Physical address: 50430 ; Signed Byte Value: 57
Logical address: 29780 ; Physical address: 24404 ; Signed Byte Value: 0
Logical address: 62553 ; Physical address: 65369 ; Signed Byte Value: 0
Logical address: 2303 ; Physical address: 30719 ; Signed Byte Value: 63
Logical address: 51915 ; Physical address: 38603 ; Signed Byte Value: -78
Logical address: 6251 ; Physical address: 58219 ; Signed Byte Value: 26
Logical address: 38107 ; Physical address: 28635 ; Signed Byte Value: 54
Logical address: 59325 ; Physical address: 55485 ; Signed Byte Value: 0
Logical address: 61295 ; Physical address: 23407 ; Signed Byte Value: -37
Logical address: 26699 ; Physical address: 23115 ; Signed Byte Value: 18
Logical address: 51188 ; Physical address: 23028 ; Signed Byte Value: 0
Logical address: 59519 ; Physical address: 39807 ; Signed Byte Value: 31
Logical address: 7345 ; Physical address: 22705 ; Signed Byte Value: 0
Logical address: 20325 ; Physical address: 48997 ; Signed Byte Value: 0
Logical address: 39633 ; Physical address: 22481 ; Signed Byte Value: 0
Logical address: 1562 ; Physical address: 22042 ; Signed Byte Value: 1
Logical address: 7580 ; Physical address: 59548 ; Signed Byte Value: 0
Logical address: 8170 ; Physical address: 31978 ; Signed Byte Value: 7
Logical address: 62256 ; Physical address: 41776 ; Signed Byte Value: 0
Logical address: 35823 ; Physical address: 21999 ; Signed Byte Value: -5
Logical address: 27790 ; Physical address: 21646 ; Signed Byte Value: 27
Logical address: 13191 ; Physical address: 21383 ; Signed Byte Value: -31
Logical address: 9772 ; Physical address: 21036 ; Signed Byte Value: 0
Logical address: 7477 ; Physical address: 59445 ; Signed Byte Value: 0
Logical address: 44455 ; Physical address: 20903 ; Signed Byte Value: 105
Logical address: 59546 ; Physical address: 39834 ; Signed Byte Value: 58
Logical address: 49347 ; Physical address: 57283 ; Signed Byte Value: 48
Logical address: 36539 ; Physical address: 51387 ; Signed Byte Value: -82
Logical address: 12453 ; Physical address: 20645 ; Signed Byte Value: 0
Logical address: 49640 ; Physical address: 20456 ; Signed Byte Value: 0
Logical address: 28290 ; Physical address: 30850 ; Signed Byte Value: 27
Logical address: 44817 ; Physical address: 52497 ; Signed Byte Value: 0
Logical address: 8565 ; Physical address: 45685 ; Signed Byte Value: 0
Logical address: 16399 ; Physical address: 19983 ; Signed Byte Value: 3
Logical address: 41934 ; Physical address: 27086 ; Signed Byte Value: 40
Logical address: 45457 ; Physical address: 19857 ; Signed Byte Value: 0
Logical address: 33856 ; Physical address: 23616 ; Signed Byte Value: 0
Logical address: 19498 ; Physical address: 43050 ; Signed Byte Value: 19
Logical address: 17661 ; Physical address: 24829 ; Signed Byte Value: 0
Logical address: 63829 ; Physical address: 43861 ; Signed Byte Value: 0
Logical address: 42034 ; Physical address: 19506 ; Signed Byte Value: 41
Logical address: 28928 ; Physical address: 49152 ; Signed Byte Value: 0
Logical address: 30711 ; Physical address: 49655 ; Signed Byte Value: -3
Logical address: 8800 ; Physical address: 19296 ; Signed Byte Value: 0
Logical address: 52335 ; Physical address: 19055 ; Signed Byte Value: 27
Logical address: 38775 ; Physical address: 18807 ; Signed Byte Value: -35
Logical address: 52704 ; Physical address: 35808 ; Signed Byte Value: 0
Logical address: 24380 ; Physical address: 64060 ; Signed Byte Value: 0
Logical address: 19602 ; Physical address: 43154 ; Signed Byte Value: 19
Logical address: 57998 ; Physical address: 62606 ; Signed Byte Value: 56
Logical address: 2919 ; Physical address: 54119 ; Signed Byte Value: -39
Logical address: 8362 ; Physical address: 18602 ; Signed Byte Value: 8
Logical address: 17884 ; Physical address: 56028 ; Signed Byte Value: 0
Logical address: 45737 ; Physical address: 58025 ; Signed Byte Value: 0
Logical address: 47894 ; Physical address: 39958 ; Signed Byte Value: 46
Logical address: 59667 ; Physical address: 18195 ; Signed Byte Value: 68
Logical address: 10385 ; Physical address: 51089 ; Signed Byte Value: 0
Logical address: 52782 ; Physical address: 17966 ; Signed Byte Value: 51
Logical address: 64416 ; Physical address: 60832 ; Signed Byte Value: 0
Logical address: 40946 ; Physical address: 57586 ; Signed Byte Value: 39
Logical address: 16778 ; Physical address: 17802 ; Signed Byte Value: 16
Logical address: 27159 ; Physical address: 36887 ; Signed Byte Value: -123
Logical address: 24324 ; Physical address: 64004 ; Signed Byte Value: 0
Logical address: 32450 ; Physical address: 58818 ; Signed Byte Value: 31
Logical address: 9108 ; Physical address: 17556 ; Signed Byte Value: 0
Logical address: 65305 ; Physical address: 35097 ; Signed Byte Value: 0
Logical address: 19575 ; Physical address: 43127 ; Signed Byte Value: 29
Logical address: 11117 ; Physical address: 25709 ; Signed Byte Value: 0
Logical address: 65170 ; Physical address: 17298 ; Signed Byte Value: 63
Logical address: 58013 ; Physical address: 62621 ; Signed Byte Value: 0
Logical address: 61676 ; Physical address: 42732 ; Signed Byte Value: 0
Logical address: 63510 ; Physical address: 37398 ; Signed Byte Value: 62
Logical address: 17458 ; Physical address: 24626 ; Signed Byte Value: 17
Logical address: 54675 ; Physical address: 17043 ; Signed Byte Value: 100
Logical address: 1713 ; Physical address: 22193 ; Signed Byte Value: 0
Logical address: 55105 ; Physical address: 60481 ; Signed Byte Value: 0
Logical address: 65321 ; Physical address: 35113 ; Signed Byte Value: 0
Logical address: 45278 ; Physical address: 16862 ; Signed Byte Value: 44
Logical address: 26256 ; Physical address: 16528 ; Signed Byte Value: 0
Logical address: 64198 ; Physical address: 61382 ; Signed Byte Value: 62
Logical address: 29441 ; Physical address: 16129 ; Signed Byte Value: 0
Logical address: 1928 ; Physical address: 32648 ; Signed Byte Value: 0
Logical address: 39425 ; Physical address: 22273 ; Signed Byte Value: 0
Logical address: 32000 ; Physical address: 15872 ; Signed Byte Value: 0
Logical address: 28549 ; Physical address: 37765 ; Signed Byte Value: 0
Logical address: 46295 ; Physical address: 15831 ; Signed Byte Value: 53
Logical address: 22772 ; Physical address: 62964 ; Signed Byte Value: 0
Logical address: 58228 ; Physical address: 31604 ; Signed Byte Value: 0
Logical address: 63525 ; Physical address: 37413 ; Signed Byte Value: 0
Logical address: 32602 ; Physical address: 56154 ; Signed Byte Value: 31
Logical address: 46195 ; Physical address: 15731 ; Signed Byte Value: 28
Logical address: 55849 ; Physical address: 31017 ; Signed Byte Value: 0
Logical address: 46454 ; Physical address: 15478 ; Signed Byte Value: 45
Logical address: 7487 ; Physical address: 59455 ; Signed Byte Value: 79
Logical address: 33879 ; Physical address: 23639 ; Signed Byte Value: 21
Logical address: 42004 ; Physical address: 19476 ; Signed Byte Value: 0
Logical address: 8599 ; Physical address: 45719 ; Signed Byte Value: 101
Logical address: 18641 ; Physical address: 60369 ; Signed Byte Value: 0
Logical address: 49015 ; Physical address: 15223 ; Signed Byte Value: -35
Logical address: 26830 ; Physical address: 23246 ; Signed Byte Value: 26
Logical address: 34754 ; Physical address: 47810 ; Signed Byte Value: 33
Logical address: 14668 ; Physical address: 32332 ; Signed Byte Value: 0
Logical address: 38362 ; Physical address: 45530 ; Signed Byte Value: 37
Logical address: 38791 ; Physical address: 18823 ; Signed Byte Value: -31
Logical address: 4171 ; Physical address: 14923 ; Signed Byte Value: 18
Logical address: 45975 ; Physical address: 14743 ; Signed Byte Value: -27
Logical address: 14623 ; Physical address: 32287 ; Signed Byte Value: 71
Logical address: 62393 ; Physical address: 41913 ; Signed Byte Value: 0
Logical address: 64658 ; Physical address: 59282 ; Signed Byte Value: 63
Logical address: 10963 ; Physical address: 53459 ; Signed Byte Value: -76
Logical address: 9058 ; Physical address: 17506 ; Signed Byte Value: 8
Logical address: 51031 ; Physical address: 22871 ; Signed Byte Value: -43
Logical address: 32425 ; Physical address: 58793 ; Signed Byte Value: 0
Logical address: 45483 ; Physical address: 19883 ; Signed Byte Value: 106
Logical address: 44611 ; Physical address: 54595 ; Signed Byte Value: -112
Logical address: 63664 ; Physical address: 37552 ; Signed Byte Value: 0
Logical address: 54920 ; Physical address: 62088 ; Signed Byte Value: 0
Logical address: 7663 ; Physical address: 59631 ; Signed Byte Value: 123
Logical address: 56480 ; Physical address: 14496 ; Signed Byte Value: 0
Logical address: 1489 ; Physical address: 14289 ; Signed Byte Value: 0
Logical address: 28438 ; Physical address: 37654 ; Signed Byte Value: 27
Logical address: 65449 ; Physical address: 35241 ; Signed Byte Value: 0
Logical address: 12441 ; Physical address: 20633 ; Signed Byte Value: 0
Logical address: 58530 ; Physical address: 50338 ; Signed Byte Value: 57
Logical address: 63570 ; Physical address: 37458 ; Signed Byte Value: 62
Logical address: 26251 ; Physical address: 16523 ; Signed Byte Value: -94
Logical address: 15972 ; Physical address: 44644 ; Signed Byte Value: 0
Logical address: 35826 ; Physical address: 22002 ; Signed Byte Value: 34
Logical address: 5491 ; Physical address: 44147 ; Signed Byte Value: 92
Logical address: 54253 ; Physical address: 14061 ; Signed Byte Value: 0
Logical address: 49655 ; Physical address: 20471 ; Signed Byte Value: 125
Logical address: 5868 ; Physical address: 13804 ; Signed Byte Value: 0
Logical address: 20163 ; Physical address: 25283 ; Signed Byte Value: -80
Logical address: 51079 ; Physical address: 22919 ; Signed Byte Value: -31
Logical address: 21398 ; Physical address: 56726 ; Signed Byte Value: 20
Logical address: 32756 ; Physical address: 56308 ; Signed Byte Value: 0
Logical address: 64196 ; Physical address: 61380 ; Signed Byte Value: 0
Logical address: 43218 ; Physical address: 48338 ; Signed Byte Value: 42
Logical address: 21583 ; Physical address: 13391 ; Signed Byte Value: 19
Logical address: 25086 ; Physical address: 13310 ; Signed Byte Value: 24
Logical address: 45515 ; Physical address: 19915 ; Signed Byte Value: 114
Logical address: 12893 ; Physical address: 35421 ; Signed Byte Value: 0
Logical address: 22914 ; Physical address: 12930 ; Signed Byte Value: 22
Logical address: 58969 ; Physical address: 50777 ; Signed Byte Value: 0
Logical address: 20094 ; Physical address: 25214 ; Signed Byte Value: 19
Logical address: 13730 ; Physical address: 12706 ; Signed Byte Value: 13
Logical address: 44059 ; Physical address: 12315 ; Signed Byte Value: 6
